Word,Count,"Total Broad Searches","Total Exact Searches"
пластиковые,1346,5749044,210353
окна,1696,9948551,365136
киев,42,140141,14551
спб,12,24730,2724
самара,6,3460,566
харьков,14,32400,4148
днепропетровск,4,2290,356
екатеринбург,10,6513,1206
воронеж,8,4320,841
мытищи,2,390,210
kaleva,2,480,170
балашиха,2,480,170
саратов,4,1510,700
казань,6,6800,1056
химки,2,390,170
волгоград,4,1470,571
краснодар,2,1600,480
нижний,6,4380,1008
новгород,6,4380,1008
уфа,6,2770,587
в,224,656940,18033
челябинск,4,1470,681
донецк,8,6980,1406
красноярск,2,590,260
киров,2,720,320
санкт,2,480,140
петербург,4,4880,350
люберцы,2,480,140
омск,4,1050,333
оренбург,2,720,260
тюмень,4,990,378
ижевск,4,553,232
белгород,2,480,260
минск,4,5280,2160
пермь,4,811,232
ярославль,4,681,246
тверь,2,480,170
калининград,2,590,170
липецк,2,390,170
тула,4,1470,182
чебоксары,2,480,320
владивосток,2,390,210
украина,4,930,86
хабаровск,2,720,260
пенза,2,480,140
томск,2,880,320
одинцово,4,1440,280
иркутск,4,700,282
одесса,4,5800,1210
петрозаводск,2,170,73
барнаул,2,480,170
новосибирск,8,4320,863
серпухов,2,140,73
зеленоград,2,480,210
цена,58,541700,8637
подольск,2,590,170
пушкино,2,320,140
сургут,2,320,110
рязань,2,480,140
смоленск,2,260,91
набережные,2,260,110
челны,2,260,110
новокузнецк,2,210,73
ростов,4,1390,231
полтава,2,320,73
курск,2,260,73
луганск,2,480,110
псков,2,170,73
долгопрудный,2,260,91
архангельск,2,210,73
обнинск,2,140,73
кемерово,4,640,132
брянск,2,210,91
лобня,2,260,110
ставрополь,2,260,91
раменское,2,140,73
реутов,2,260,110
на,144,1366912,19218
дону,4,780,119
истра,2,210,91
иваново,2,210,91
орехово-зуево,2,73,46
житомир,2,390,58
черкассы,2,320,46
калькулятор,24,60460,3419
львов,2,110,28
звенигород,2,140,58
калуга,2,880,140
ульяновск,2,590,260
тольятти,4,780,176
абакан,2,91,28
чита,2,110,36
щелково,2,320,140
красногорск,2,260,140
симферополь,2,720,140
винница,2,480,110
дмитров,2,210,110
воскресенск,2,110,16
москва,62,155205,9698
цены,220,788758,28505
rehau,42,210340,11305
г,2,390,320
купить,52,320846,12774
пвх,218,1281504,52593
отличные,2,260,210
деревянные,30,195090,15161
дешево,12,14980,2240
жалюзи,52,72559,8813
пластиковый,6,648,234
kbe,10,13563,2019
стоимость,36,153650,5405
установка,62,257666,14708
дешевые,20,57800,3681
самые,10,3700,996
москве,48,81890,5251
где,6,35590,1120
киеве,10,33400,1224
готовые,10,5620,1640
от,26,20266,2517
производителя,22,17386,2207
евроокна,28,53201,6286
рулонные,6,2440,1250
горизонтальные,4,1440,520
как,38,55790,4556
установить,18,87020,1406
монтаж,10,78640,3083
крепление,2,480,91
вертикальные,2,480,73
крепить,2,480,91
фото,6,5060,656
заказать,20,58740,4310
лучше,24,26460,1988
заказ,18,43130,3010
самаре,8,2380,300
украине,4,930,32
расчет,20,22520,2910
стоимости,8,4740,1050
пластиковых,88,1007190,26232
окон,138,1276748,40537
недорого,8,12500,1360
лучшие,24,10810,2426
стеклопакеты,58,403720,11646
размеры,14,8550,1570
со,6,14820,1130
стеклопакетами,4,12420,740
выбрать,22,28060,2328
правильно,6,1170,520
форум,12,29890,941
с,12,12730,1322
форточкой,4,1170,590
климат,2,590,480
контролем,2,590,480
вентиляцией,2,480,170
завода,2,590,46
профиль,22,69670,3501
отзывы,26,35693,3638
и,30,129460,3388
рехау,18,55480,6640
металлопластиковые,50,234410,22249
изготовление,18,57560,4160
откосов,2,880,320
их,2,36,12
жалюзей,2,110,16
прайс,8,3780,780
лист,2,320,170
какие,30,484890,2251
поставить,8,7520,408
скидки,14,13620,1822
кредит,8,13891,1772
veka,18,61250,4470
недорогие,8,26300,2000
века,12,30310,4970
21,2,720,260
профили,14,16790,991
металлопластиковых,6,3790,781
оконные,4,4000,490
двери,28,123700,6271
качественные,8,2980,846
самому,2,590,36
для,32,419560,6771
дачи,12,17480,2240
деревянного,2,1600,260
дома,4,5200,470
квартиры,2,4400,210
балкона,2,3600,260
крыши,2,1600,260
коттеджа,2,480,320
москитные,6,6400,1291
сетки,8,8300,1501
производство,30,108000,6613
окно,32,203140,3679
сколько,4,2900,870
стоит,2,1300,480
пластиковое,22,43840,2983
металлопластиковое,2,1600,110
вставить,6,2150,286
производители,18,45840,1909
раздвижные,6,3000,600
из,12,258570,2351
эконом,6,1370,690
балкон,6,9190,1010
деревянный,2,720,210
дом,4,2620,350
дверей,4,650,176
московские,8,10020,2692
гост,6,5700,229
алматы,8,7720,1599
пластика,2,27100,140
производитель,10,14000,750
ремонт,8,23600,3352
компании,14,12320,744
дизайн,2,58,36
пластиков,4,2540,280
теплые,4,580,310
балконные,2,390,110
блоки,2,210,170
окнах,8,29750,1690
все,2,880,720
о,6,2800,1370
продажа,14,36300,5660
стеклопакетов,14,25260,2843
качество,6,2140,195
цветные,6,2210,660
фурнитура,10,24870,2886
к,2,170,140
пластиковым,2,170,140
окнам,2,170,140
профиля,4,1590,430
рассчитать,8,8700,1430
пластикового,22,31841,1907
регулировка,4,5720,310
конструкция,6,880,297
выбор,6,1411,599
расчитать,2,1000,170
туле,4,1470,553
саратове,4,1510,176
воронеже,4,1810,95
фирмы,8,6280,633
или,2,2400,58
остекление,10,19900,2050
балконов,4,3200,1040
пластиковыми,4,3700,1200
окнами,4,3700,1200
какой,2,140,5
стеклопакет,6,110740,1861
